test_id,VT1 (VEQ),VT2 (V-Slope),|VT1 - VT2|,Average VT
391_1,2110.0,2661.0,551.0,2385.5
392_1,1184.0,1239.0,55.0,1211.5
393_1,1731.0,1847.0,116.0,1789.0
394_1,2049.0,2434.0,385.0,2241.5
395_1,900.0,767.0,133.0,833.5
396_1,1253.0,1892.0,639.0,1572.5
397_41,1373.0,1283.0,90.0,1328.0
398_1,1151.0,1018.0,133.0,1084.5
399_1,1548.0,855.0,693.0,1201.5
400_1,892.0,958.0,66.0,925.0
401_43,1078.0,1010.0,68.0,1044.0
401_1,2649.0,3221.0,572.0,2935.0
402_1,2698.0,3373.0,675.0,3035.5
403_1,1091.0,1095.0,4.0,1093.0
404_1,1259.0,1247.0,12.0,1253.0
405_1,1221.0,1429.0,208.0,1325.0
406_1,1282.0,1257.0,25.0,1269.5
407_58,1441.0,1387.0,54.0,1414.0
407_1,1489.0,1286.0,203.0,1387.5
408_1,1756.0,1107.0,649.0,1431.5
409_1,3042.0,3644.0,602.0,3343.0
410_1,1708.0,1350.0,358.0,1529.0
411_1,2240.0,2086.0,154.0,2163.0
412_1,1460.0,1535.0,75.0,1497.5
413_1,2655.0,1422.0,1233.0,2038.5
414_1,1822.0,2782.0,960.0,2302.0
416_64,1141.0,992.0,149.0,1066.5
416_1,1356.0,1390.0,34.0,1373.0
417_55,1701.0,1727.0,26.0,1714.0
417_37,906.0,818.0,88.0,862.0
417_1,1667.0,1782.0,115.0,1724.5
418_1,1462.0,1292.0,170.0,1377.0
419_1,2448.0,2596.0,148.0,2522.0
420_16,1227.0,1253.0,26.0,1240.0
420_1,1278.0,1208.0,70.0,1243.0
421_1,2812.0,3350.0,538.0,3081.0
423_1,1821.0,1267.0,554.0,1544.0
424_1,2437.0,2194.0,243.0,2315.5
425_1,2058.0,1991.0,67.0,2024.5
426_1,2164.0,2282.0,118.0,2223.0
429_1,1157.0,1078.0,79.0,1117.5
430_1,1580.0,1410.0,170.0,1495.0
431_371,1327.0,1177.0,150.0,1252.0
431_1,1022.0,2005.0,983.0,1513.5
432_1,942.0,898.0,44.0,920.0
433_1,1338.0,1125.0,213.0,1231.5
434_1,1609.0,1585.0,24.0,1597.0
435_1,982.0,,,
436_1,1344.0,1126.0,218.0,1235.0
437_1,1000.0,970.0,30.0,985.0
438_1,2538.0,3332.0,794.0,2935.0
439_1,1428.0,1454.0,26.0,1441.0
440_1,2133.0,2586.0,453.0,2359.5
441_1,1860.0,2172.0,312.0,2016.0
442_1,997.0,1775.0,778.0,1386.0
443_1,2739.0,2505.0,234.0,2622.0
444_1,1512.0,1005.0,507.0,1258.5
445_1,1270.0,1357.0,87.0,1313.5
446_1,2292.0,2400.0,108.0,2346.0
447_1,1416.0,3043.0,1627.0,2229.5
448_1,1284.0,1297.0,13.0,1290.5
449_28,2144.0,2695.0,551.0,2419.5
449_1,2785.0,2691.0,94.0,2738.0
450_1,1897.0,2510.0,613.0,2203.5
